18:11:49.271 [CUBESAT]: Time: 1555 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.271 [CUBESAT]: Time: 1569 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.278 [CUBESAT]: Time: 1582 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.291 [CUBESAT]: Time: 1597 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.331 [CUBESAT]: Time: 1611 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.331 [CUBESAT]: Time: 1625 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.334 [CUBESAT]: Time: 1638 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.390 [CUBESAT]: Time: 1651 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.391 [CUBESAT]: Time: 1665 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.393 [CUBESAT]: Time: 1679 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.394 [CUBESAT]: Time: 1692 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.395 4
18:11:49.399 [CUBESAT]: Time: 1705 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.513 [CUBESAT]: Time: 1722 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.515 [CUBESAT]: Time: 1736 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.515 [CUBESAT]: Time: 1750 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.515 [CUBESAT]: Time: 1763 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.516 [CUBESAT]: Time: 1776 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.517 [CUBESAT]: Time: 1789 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.517 [CUBESAT]: Time: 1802 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.519 [CUBESAT]: Time: 1815 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.600 [CUBESAT]: Time: 1828 | Angle -8434.56° | Setpoint: 0 | Dc= 0.40
18:11:49.635 [CUBESAT]: Time: 1844 | Angle -8434.56° | Setpoint: 0 | Dc= 0.40
18:11:49.637 [CUBESAT]: Time: 1855 | Angle -8434.58° | Setpoint: 0 | Dc= 0.40
18:11:49.637 [CUBESAT]: Time: 1865 | Angle -8434.60° | Setpoint: 0 | Dc= 0.40
18:11:49.637 [CUBESAT]: Time: 1875 | Angle -8434.62° | Setpoint: 0 | Dc= 0.40
18:11:49.637 [CUBESAT]: Time: 1885 | Angle -8434.66° | Setpoint: 0 | Dc= 0.40
18:11:49.637 [CUBESAT]: Time: 1895 | Angle -8434.71° | Setpoint: 0 | Dc= 0.40
18:11:49.637 [CUBESAT]: Time: 1905 | Angle -8434.75° | Setpoint: 0 | Dc= 0.40
18:11:49.639 [CUBESAT]: Time: 1919 | Angle -8434.84° | Setpoint: 0 | Dc= 0.40
18:11:49.640 [CUBESAT]: Time: 1933 | Angle -8434.92° | Setpoint: 0 | Dc= 0.40
18:11:49.641 [CUBESAT]: Time: 1946 | Angle -8435.02° | Setpoint: 0 | Dc= 0.40
18:11:49.656 [CUBESAT]: Time: 1961 | Angle -8435.14° | Setpoint: 0 | Dc= 0.40
18:11:49.668 [CUBESAT]: Time: 1975 | Angle -8435.25° | Setpoint: 0 | Dc= 0.40
18:11:49.702 [CUBESAT]: Time: 1989 | Angle -8435.40° | Setpoint: 0 | Dc= 0.40
18:11:49.702 [CUBESAT]: Time: 2003 | Angle -8435.56° | Setpoint: 0 | Dc= 0.40
18:11:49.710 [CUBESAT]: Time: 2017 | Angle -8435.69° | Setpoint: 0 | Dc= 0.40
18:11:49.726 [CUBESAT]: Time: 2031 | Angle -8435.87° | Setpoint: 0 | Dc= 0.40
18:11:49.738 [CUBESAT]: Time: 2045 | Angle -8436.06° | Setpoint: 0 | Dc= 0.40
18:11:49.751 [CUBESAT]: Time: 2059 | Angle -8436.22° | Setpoint: 0 | Dc= 0.40
