18:07:25.287 Connecting to CUBESAT-ESP32 ...
18:07:26.005 Connected
18:07:28.681 [CUBESAT]: Time: 6959 | Angle 60.31° | Setpoint: 90 | Dc= 0.00
18:07:28.696 [CUBESAT]: Time: 6973 | Angle 60.32° | Setpoint: 90 | Dc= 0.00
18:07:28.732 [CUBESAT]: Time: 6987 | Angle 60.33° | Setpoint: 90 | Dc= 0.00
18:07:28.733 [CUBESAT]: Time: 7001 | Angle 60.34° | Setpoint: 90 | Dc= 0.00
18:07:28.740 [CUBESAT]: Time: 7015 | Angle 60.35° | Setpoint: 90 | Dc= 0.00
18:07:28.757 [CUBESAT]: Time: 7030 | Angle 60.35° | Setpoint: 90 | Dc= 0.00
18:07:28.765 [CUBESAT]: Time: 7044 | Angle 60.36° | Setpoint: 90 | Dc= 0.00
18:07:28.783 [CUBESAT]: Time: 7058 | Angle 60.37° | Setpoint: 90 | Dc= 0.00
18:07:28.872 [CUBESAT]: Time: 7072 | Angle 60.38° | Setpoint: 90 | Dc= 0.00
18:07:28.872 [CUBESAT]: Time: 7087 | Angle 60.39° | Setpoint: 90 | Dc= 0.00
18:07:28.874 [CUBESAT]: Time: 7101 | Angle 60.40° | Setpoint: 90 | Dc= 0.00
18:07:28.877 [CUBESAT]: Time: 7114 | Angle 60.40° | Setpoint: 90 | Dc= 0.00
18:07:28.890 [CUBESAT]: Time: 7127 | Angle 60.41° | Setpoint: 90 | Dc= 0.00
18:07:28.892 [CUBESAT]: Time: 7141 | Angle 60.42° | Setpoint: 90 | Dc= 0.00
18:07:28.894 [CUBESAT]: Time: 7154 | Angle 60.43° | Setpoint: 90 | Dc= 0.00
18:07:28.958 [CUBESAT]: Time: 7168 | Angle 60.44° | Setpoint: 90 | Dc= 0.00
18:07:28.958 [CUBESAT]: Time: 7181 | Angle 60.44° | Setpoint: 90 | Dc= 0.00
18:07:28.958 [CUBESAT]: Time: 7194 | Angle 60.45° | Setpoint: 90 | Dc= 0.00
18:07:28.972 [CUBESAT]: Time: 7207 | Angle 60.46° | Setpoint: 90 | Dc= 0.00
18:07:28.973 [CUBESAT]: Time: 7218 | Angle 60.47° | Setpoint: 90 | Dc= 0.00
18:07:28.973 [CUBESAT]: Time: 7228 | Angle 60.47° | Setpoint: 90 | Dc= 0.00
18:07:29.048 [CUBESAT]: Time: 7244 | Angle 60.48° | Setpoint: 90 | Dc= 0.00
18:07:29.058 [CUBESAT]: Time: 7257 | Angle 60.49° | Setpoint: 90 | Dc= 0.00
18:07:29.059 [CUBESAT]: Time: 7270 | Angle 60.50° | Setpoint: 90 | Dc= 0.00
18:07:29.060 [CUBESAT]: Time: 7283 | Angle 60.51° | Setpoint: 90 | Dc= 0.00
18:07:29.230 [CUBESAT]: Time: 7297 | Angle 60.51° | Setpoint: 90 | Dc= 0.00
18:07:29.231 [CUBESAT]: Time: 7308 | Angle 60.52° | Setpoint: 90 | Dc= 0.00
18:07:29.231 [CUBESAT]: Time: 7318 | Angle 60.53° | Setpoint: 90 | Dc= 0.00
18:07:29.234 [CUBESAT]: Time: 7333 | Angle 60.54° | Setpoint: 90 | Dc= 0.00
18:07:29.234 [CUBESAT]: Time: 7345 | Angle 60.54° | Setpoint: 90 | Dc= 0.00
18:07:29.234 [CUBESAT]: Time: 7359 | Angle 60.55° | Setpoint: 90 | Dc= 0.00
18:07:29.235 [CUBESAT]: Time: 7372 | Angle 60.56° | Setpoint: 90 | Dc= 0.00
18:07:29.297 [CUBESAT]: Time: 7385 | Angle 60.57° | Setpoint: 90 | Dc= 0.00
18:07:29.298 [CUBESAT]: Time: 7396 | Angle 60.58° | Setpoint: 90 | Dc= 0.00
18:07:29.298 [CUBESAT]: Time: 7406 | Angle 60.58° | Setpoint: 90 | Dc= 0.00
18:07:29.298 [CUBESAT]: Time: 7416 | Angle 60.59° | Setpoint: 90 | Dc= 0.00
18:07:29.298 [CUBESAT]: Time: 7426 | Angle 60.59° | Setpoint: 90 | Dc= 0.00
