Time,Angle,Setpoint,Dc
3245,65.21,0,0.00
3258,65.22,0,0.00
3271,65.23,0,0.00
3284,65.23,0,0.00
3294,65.24,0,0.00
3304,65.25,0,0.00
3314,65.25,0,0.00
3324,65.26,0,0.00
3334,65.27,0,0.00
3344,65.27,0,0.00
3354,65.28,0,0.00
3364,65.28,0,0.00
3374,65.29,0,0.00
3384,65.29,0,0.00
3394,65.30,0,0.00
3405,65.31,0,0.00
3418,65.31,0,0.00
3431,65.32,0,0.00
3442,65.33,0,0.00
3452,65.33,0,0.00
3462,65.34,0,0.00
3472,65.35,0,0.00
3482,65.35,0,0.00
3492,65.36,0,0.00
3502,65.37,0,0.00
3512,65.37,0,0.00
3522,65.38,0,0.00
3532,65.38,0,0.00
3542,65.39,0,0.00
3552,65.39,0,0.00
3570,65.40,0,0.00
3586,65.41,0,0.00
3600,65.42,0,0.00
3613,65.43,0,0.00
3626,65.44,0,0.00
3639,65.44,0,0.00
3652,65.45,0,0.00
3668,65.46,0,0.00
3682,65.47,0,0.00
3695,65.48,0,0.00
3708,65.48,0,0.00
3721,65.49,0,0.00
3735,65.50,0,0.00
3749,65.51,0,0.00
3762,65.51,0,0.00
3775,65.52,0,0.00
3788,65.53,0,0.00
3801,65.54,0,0.00
3814,65.54,0,0.00
3830,65.55,0,0.00
3844,65.56,0,0.00
3858,65.57,0,0.00
3872,65.58,0,0.00
3885,65.59,0,0.00
3898,65.60,0,0.00
3913,65.61,0,0.00
3927,65.61,0,0.00
3941,65.62,0,0.00
3954,65.63,0,0.00
3967,65.64,0,0.00
3980,65.64,0,0.00
3995,65.65,0,0.00
4009,65.66,0,0.00
4023,65.67,0,0.00
4037,65.68,0,0.00
4050,65.69,0,0.00
4063,65.69,0,0.00
4076,65.70,0,0.00
4089,65.71,0,0.00
4100,65.72,0,0.00
4110,65.72,0,0.00
4120,65.73,0,0.00
4130,65.73,0,0.00
4140,65.74,0,0.00
4150,65.75,0,0.00
4160,65.75,0,0.00
4170,65.75,0,0.00
4180,65.76,0,0.00
4191,65.77,0,0.00
4205,65.78,0,0.00
4218,65.78,0,0.00
4231,65.79,0,0.00
4242,65.80,0,0.00
4259,65.81,0,0.00
4272,65.82,0,0.00
4285,65.82,0,0.00
4298,65.83,0,0.00
4311,65.84,0,0.00
4322,65.85,0,0.00
4332,65.85,0,0.00
4345,65.86,0,0.00
4361,65.87,0,0.00
4375,65.88,0,0.00
4388,65.89,0,0.00
4401,65.89,0,0.00
4414,65.90,0,0.00
4429,65.91,0,0.00
4443,65.92,0,0.00
4456,65.93,0,0.00
4469,65.93,0,0.00
4482,65.94,0,0.00
4495,65.95,0,0.00
4512,65.96,0,0.00
4526,65.97,0,0.00
4539,65.97,0,0.00
4552,65.98,0,0.00
4565,65.99,0,0.00
4578,66.00,0,0.00
4594,66.01,0,0.00
4608,66.01,0,0.00
4622,66.02,0,0.00
4635,66.03,0,0.00
4648,66.04,0,0.00
4661,66.05,0,0.00
4674,66.05,0,0.00
4689,66.06,0,0.00
4702,66.07,0,0.00
4716,66.08,0,0.00
4729,66.09,0,0.00
4742,66.09,0,0.00
4755,66.10,0,0.00
4768,66.11,0,0.00
4784,66.12,0,0.00
4797,66.13,0,0.00
4810,66.14,0,0.00
4823,66.14,0,0.00
4836,66.15,0,0.00
4849,66.16,0,0.00
4862,66.17,0,0.00
4875,66.17,0,0.00
4889,66.18,0,0.00
4899,66.19,0,0.00
4909,66.19,0,0.00
4919,66.20,0,0.00
4936,66.21,0,0.00
4951,66.22,0,0.00
4965,66.23,0,0.00
4978,66.24,0,0.00
4991,66.24,0,0.00
5004,66.25,0,0.00
5017,66.26,0,0.00
5030,66.27,0,0.00
5043,66.27,0,0.00
5056,66.28,0,0.00
5069,66.29,0,0.00
5079,66.29,0,0.00
5089,66.30,0,0.00
5099,66.31,0,0.00
5109,66.31,0,0.00
5119,66.32,0,0.00
5129,66.32,0,0.00
5139,66.33,0,0.00
5149,66.34,0,0.00
5159,66.34,0,0.00
5169,66.35,0,0.00
5179,66.35,0,0.00
5189,66.36,0,0.00
5203,66.37,0,0.00
5217,66.38,0,0.00
5230,66.39,0,0.00
5241,66.39,0,0.00
5251,66.40,0,0.00
5261,66.40,0,0.00
5271,66.41,0,0.00
5287,66.42,0,0.00
5300,66.43,0,0.00
5314,66.44,0,0.00
5327,66.44,0,0.00
5340,66.45,0,0.00
5353,66.46,0,0.00
5366,66.47,0,0.00
5382,66.47,0,0.00
5396,66.48,0,0.00
5409,66.49,0,0.00
5422,66.50,0,0.00
5435,66.50,0,0.00
5448,66.51,0,0.00
5463,66.52,0,0.00
5477,66.53,0,0.00
5491,66.54,0,0.00
5504,66.55,0,0.00
5517,66.55,0,0.00
