 [CUBESAT]: Time: 7460 | Angle -119.16° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7474 | Angle -121.18° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7487 | Angle -122.81° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7500 | Angle -124.46° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7516 | Angle -126.94° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7530 | Angle -128.60° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7544 | Angle -130.70° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7557 | Angle -132.39° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7570 | Angle -134.53° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7583 | Angle -136.24° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7596 | Angle -137.97° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7607 | Angle -139.70° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7617 | Angle -141.01° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7627 | Angle -142.76° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7637 | Angle -144.09° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7647 | Angle -145.41° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7657 | Angle -147.20° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7667 | Angle -148.54° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7677 | Angle -149.89° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7687 | Angle -151.69° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7697 | Angle -153.05° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7707 | Angle -154.42° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7717 | Angle -156.24° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7727 | Angle -157.62° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7737 | Angle -159.00° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7747 | Angle -160.85° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7757 | Angle -162.24° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7777 | Angle -165.51° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7792 | Angle -167.86° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7806 | Angle -169.74° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7820 | Angle -172.12° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7834 | Angle -174.50° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7847 | Angle -176.42° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7862 | Angle -178.83° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7876 | Angle -181.24° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7890 | Angle -183.18° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7904 | Angle -185.61° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7918 | Angle -188.06° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7932 | Angle -190.02° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7947 | Angle -192.47° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7961 | Angle -194.94° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7975 | Angle -197.42° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7989 | Angle -199.41° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 8003 | Angle -201.90° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 8017 | Angle -204.40° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 8031 | Angle -206.40° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 8045 | Angle -208.92° | Setpoint: 90 | Dc= 0.40
18:08:12.427 [CUBESAT]: Time: 8059 | Angle -211.43° | Setpoint: 90 | Dc= 0.40
18:08:12.442 [CUBESAT]: Time: 8073 | Angle -213.45° | Setpoint: 90 | Dc= 0.40
18:08:12.483 [CUBESAT]: Time: 8087 | Angle -215.97° | Setpoint: 90 | Dc= 0.40
18:08:12.483 [CUBESAT]: Time: 8101 | Angle -218.50° | Setpoint: 90 | Dc= 0.40
18:08:12.484 [CUBESAT]: Time: 8115 | Angle -220.53° | Setpoint: 90 | Dc= 0.40
18:08:12.499 [CUBESAT]: Time: 8130 | Angle -223.07° | Setpoint: 90 | Dc= 0.40
18:08:12.557 [CUBESAT]: Time: 8144 | Angle -225.62° | Setpoint: 90 | Dc= 0.40
18:08:12.559 [CUBESAT]: Time: 8158 | Angle -228.17° | Setpoint: 90 | Dc= 0.40
18:08:12.559 [CUBESAT]: Time: 8172 | Angle -230.21° | Setpoint: 90 | Dc= 0.40
18:08:12.559 [CUBESAT]: Time: 8186 | Angle -232.76° | Setpoint: 90 | Dc= 0.40
18:08:12.644 [CUBESAT]: Time: 8199 | Angle -235.32° | Setpoint: 90 | Dc= 0.40
18:08:12.644 [CUBESAT]: Time: 8214 | Angle -237.36° | Setpoint: 90 | Dc= 0.40
18:08:12.644 [CUBESAT]: Time: 8228 | Angle -239.92° | Setpoint: 90 | Dc= 0.40
18:08:12.644 [CUBESAT]: Time: 8241 | Angle -241.97° | Setpoint: 90 | Dc= 0.40
18:08:12.645 [CUBESAT]: Time: 8254 | Angle -244.53° | Setpoint: 90 | Dc= 0.40
18:08:12.646 [CUBESAT]: Time: 8267 | Angle -246.58° | Setpoint: 90 | Dc= 0.40
18:08:12.651 [CUBESAT]: Time: 8280 | Angle -248.64° | Setpoint: 90 | Dc= 0.40
18:08:12.666 [CUBESAT]: Time: 8298 | Angle -251.72° | Setpoint: 90 | Dc= 0.40
18:08:12.728 [CUBESAT]: Time: 8312 | Angle -254.29° | Setpoint: 90 | Dc= 0.40
18:08:12.728 [CUBESAT]: Time: 8326 | Angle -256.87° | Setpoint: 90 | Dc= 0.40
18:08:12.728 [CUBESAT]: Time: 8340 | Angle -258.93° | Setpoint: 90 | Dc= 0.40
18:08:12.729 [CUBESAT]: Time: 8354 | Angle -261.51° | Setpoint: 90 | Dc= 0.40
18:08:12.819 [CUBESAT]: Time: 8367 | Angle -263.57° | Setpoint: 90 | Dc= 0.40
18:08:12.819 [CUBESAT]: Time: 8383 | Angle -266.66° | Setpoint: 90 | Dc= 0.40
18:08:12.819 [CUBESAT]: Time: 8397 | Angle -268.73° | Setpoint: 90 | Dc= 0.40
18:08:12.819 [CUBESAT]: Time: 8410 | Angle -271.31° | Setpoint: 90 | Dc= 0.40
18:08:12.821 [CUBESAT]: Time: 8423 | Angle -273.37° | Setpoint: 90 | Dc= 0.40
18:08:12.821 [CUBESAT]: Time: 8436 | Angle -275.44° | Setpoint: 90 | Dc= 0.40
