17:13:25.349 Connecting to CUBESAT-ESP32 ...
17:13:31.958 Connection failed: read failed, socket might closed or timeout, read ret: -1
17:13:32.967 Connecting to CUBESAT-ESP32 ...
17:13:34.306 Connected
17:13:36.597 [CUBESAT]: Time: 11942 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.615 [CUBESAT]: Time: 11957 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:36.647 [CUBESAT]: Time: 11971 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:36.648 [CUBESAT]: Time: 11985 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:36.656 [CUBESAT]: Time: 11998 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:36.671 [CUBESAT]: Time: 12015 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.705 [CUBESAT]: Time: 12029 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.706 [CUBESAT]: Time: 12043 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.712 [CUBESAT]: Time: 12056 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.726 [CUBESAT]: Time: 12071 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.767 [CUBESAT]: Time: 12085 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.768 [CUBESAT]: Time: 12098 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.769 [CUBESAT]: Time: 12111 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.778 [CUBESAT]: Time: 12124 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.805 [CUBESAT]: Time: 12138 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.824 [CUBESAT]: Time: 12152 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.825 [CUBESAT]: Time: 12166 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.834 [CUBESAT]: Time: 12180 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.851 [CUBESAT]: Time: 12194 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.886 [CUBESAT]: Time: 12208 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.889 [CUBESAT]: Time: 12222 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.891 [CUBESAT]: Time: 12235 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.905 [CUBESAT]: Time: 12250 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:36.960 [CUBESAT]: Time: 12264 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.960 [CUBESAT]: Time: 12278 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.961 [CUBESAT]: Time: 12291 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.962 [CUBESAT]: Time: 12304 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:37.007 [CUBESAT]: Time: 12317 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:37.008 [CUBESAT]: Time: 12330 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:37.009 [CUBESAT]: Time: 12343 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.067 [CUBESAT]: Time: 12357 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.067 [CUBESAT]: Time: 12372 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.170 [CUBESAT]: Time: 12385 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.170 [CUBESAT]: Time: 12398 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.171 [CUBESAT]: Time: 12411 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.173 [CUBESAT]: Time: 12424 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.177 [CUBESAT]: Time: 12438 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.180 [CUBESAT]: Time: 12451 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.197 [CUBESAT]: Time: 12462 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.197 [CUBESAT]: Time: 12472 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.197 [CUBESAT]: Time: 12482 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.197 [CUBESAT]: Time: 12492 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.197 [CUBESAT]: Time: 12502 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.197 [CUBESAT]: Time: 12512 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.223 [CUBESAT]: Time: 12522 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.230 [CUBESAT]: Time: 12534 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.231 [CUBESAT]: Time: 12548 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.233 [CUBESAT]: Time: 12561 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.235 [CUBESAT]: Time: 12575 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.242 [CUBESAT]: Time: 12588 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.285 [CUBESAT]: Time: 12602 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.286 [CUBESAT]: Time: 12615 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.286 [CUBESAT]: Time: 12628 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.326 [CUBESAT]: Time: 12641 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.327 [CUBESAT]: Time: 12654 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.327 [CUBESAT]: Time: 12668 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.341 [CUBESAT]: Time: 12681 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.348 [CUBESAT]: Time: 12694 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.395 [CUBESAT]: Time: 12708 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.395 [CUBESAT]: Time: 12722 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.396 [CUBESAT]: Time: 12735 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:37.403 [CUBESAT]: Time: 12748 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.449 [CUBESAT]: Time: 12762 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.450 [CUBESAT]: Time: 12776 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:37.451 [CUBESAT]: Time: 12789 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.459 [CUBESAT]: Time: 12802 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.471 [CUBESAT]: Time: 12817 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.504 [CUBESAT]: Time: 12831 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.506 [CUBESAT]: Time: 12845 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:37.514 [CUBESAT]: Time: 12858 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
