Time,Angle
33.967,288.87
33.967,289.24
33.968,289.61
33.968,289.98
33.971,290.35
33.971,290.72
33.973,291.28
34.254,291.65
34.254,292.02
34.258,292.39
34.258,292.76
34.258,293.13
34.402,293.49
34.402,293.86
34.402,294.23
34.403,294.60
34.405,294.97
34.407,295.35
34.407,295.72
34.407,296.09
34.407,296.46
34.407,296.83
34.407,297.20
34.407,297.57
34.408,13.34
34.410,13.72
34.410,14.10
34.478,14.48
34.479,14.86
34.479,15.24
34.482,15.62
34.483,16.00
34.484,16.39
34.484,16.77
34.489,17.15
34.491,17.53
34.491,17.92
34.491,18.30
34.491,18.68
34.491,19.07
34.493,30.34
34.498,30.73
34.500,31.12
34.500,31.51
34.502,31.90
34.504,32.29
34.567,32.68
34.567,33.07
34.567,33.46
34.568,33.85
34.569,34.24
34.571,34.63
34.571,35.02
34.571,35.41
34.571,35.80
34.571,36.19
34.573,45.71
34.574,46.11
34.579,46.50
34.583,46.90
34.583,47.30
34.583,47.69
34.586,48.09
34.586,48.49
34.590,48.89
34.590,49.29
34.658,49.69
34.658,50.09
34.659,50.49
34.661,50.89
34.661,51.29
34.662,51.69
34.666,52.09
34.669,52.49
34.669,52.89
34.669,53.29
34.669,53.69
34.669,54.09
34.670,65.78
34.675,66.19
34.677,66.60
34.677,67.01
34.679,67.42
34.737,67.83
34.737,68.24
34.738,68.65
34.738,69.07
34.738,69.48
34.746,69.89
34.746,70.30
34.746,70.72
34.746,71.13
34.746,71.55
34.748,82.06
34.753,82.48
34.753,82.91
34.755,83.33
34.761,83.75
34.763,84.18
34.766,84.60
34.835,85.02
34.835,85.45
34.835,85.87
34.837,86.30
34.839,86.72
34.839,87.14
34.839,87.57
34.839,88.00
34.839,88.42
34.839,101.25
34.841,101.68
34.845,102.12
34.845,102.55
34.848,103.20
34.848,103.64
34.852,104.08
34.922,104.51
34.922,104.95
34.922,105.39
34.922,105.83
34.924,106.27
34.924,106.71
34.924,107.15
34.924,107.59
34.924,108.03
34.926,120.63
34.927,121.08
34.929,121.53
34.933,121.98
34.933,122.43
34.935,122.88
34.938,123.33
34.992,123.78
34.992,124.23
35.006,124.69
35.086,125.14
35.087,125.59
35.087,126.04
35.087,126.49
35.087,126.95
35.087,127.40
35.088,136.81
35.090,137.27
35.090,137.73
35.100,138.19
35.100,138.65
35.100,139.11
35.100,139.57
35.100,140.03
35.174,161.33
35.195,161.81
35.195,162.28
35.211,162.76
35.212,163.23
35.212,163.71
35.212,164.18
35.212,164.66
35.212,165.13
35.270,179.81
35.271,180.29
35.273,180.77
35.274,181.25
35.275,181.74
35.275,182.22
35.275,182.70
35.275,183.18
35.275,192.88
35.278,193.37
35.280,193.86
35.346,194.34
35.346,194.83
35.346,195.31
35.346,195.80
35.346,196.29
35.346,207.05
35.348,207.54
35.348,208.03
35.411,208.52
35.413,209.01
35.413,209.49
35.413,209.98
35.413,210.47
35.416,237.79
35.417,238.28
35.482,238.78
35.482,239.27
35.482,240.00
35.483,240.50
35.484,240.99
35.486,241.48
35.487,241.97
35.492,242.47
35.493,242.96
35.493,243.45
35.493,243.95
35.493,244.44
35.493,244.93
35.497,258.26
35.504,258.76
35.506,259.25
35.506,259.74
35.507,260.23
35.570,260.72
35.571,261.21
35.572,261.70
35.574,262.19
35.575,262.68
35.584,263.18
35.584,263.67
35.584,264.16
35.584,264.65
35.584,265.15
35.587,279.68
35.591,280.17
35.591,280.66
35.594,281.15
35.595,281.64
35.595,282.13
35.595,282.62
35.599,283.11
35.599,283.60
35.604,284.09
35.604,284.58
35.607,285.07
35.608,285.57
35.611,286.06
35.613,286.55
35.613,287.04
35.615,287.53
35.618,288.02
35.621,288.51
35.622,289.00
35.624,289.49
35.627,289.98
35.629,290.47
35.629,290.96
35.632,291.45
35.635,291.94
35.635,292.43
35.639,292.92
35.641,293.41
35.644,293.91
35.645,294.40
35.645,294.89
35.650,295.63
35.651,296.12
35.652,296.61
35.654,297.09
35.655,297.58
35.659,298.07
35.662,298.56
35.665,299.05
35.665,299.54
35.668,300.03
35.668,300.52
35.671,301.01
35.673,301.50
35.674,301.99
35.678,302.48
35.679,302.97
35.680,303.46
35.685,303.95
35.686,304.44
35.686,304.93
35.688,305.42
35.692,305.90
35.693,306.39
35.696,306.88
35.698,307.37
35.702,307.86
35.703,308.36
35.709,308.85
35.710,309.34
35.710,309.83
35.710,310.57
35.712,311.05
35.720,311.54
35.720,312.03
35.721,312.52
35.721,313.01
35.722,313.49
35.748,313.98
35.748,314.47
35.753,314.96
35.753,315.45
35.753,315.95
35.753,316.44
35.753,316.93
35.753,317.42
35.755,321.84
35.805,322.33
35.805,322.82
35.805,323.32
35.809,323.81
35.809,324.30
35.809,324.79
35.809,325.28
35.809,325.77
35.810,335.05
