Time,Angle,Setpoint,Dc
9421,-202.34,-90,0.20
9434,-204.07,-90,0.20
9449,-205.46,-90,0.20
9463,-207.20,-90,0.20
9476,-208.59,-90,0.20
9490,-210.33,-90,0.20
9504,-212.07,-90,0.20
9518,-213.46,-90,0.20
9532,-215.20,-90,0.20
9543,-216.60,-90,0.20
9553,-217.64,-90,0.20
9563,-218.69,-90,0.20
9573,-220.08,-90,0.20
9583,-221.13,-90,0.20
9593,-222.18,-90,0.20
9603,-223.58,-90,0.20
9613,-224.63,-90,0.20
9625,-226.04,-90,0.20
9639,-227.78,-90,0.20
9653,-229.18,-90,0.20
9667,-230.92,-90,0.20
9678,-232.32,-90,0.20
9688,-233.37,-90,0.20
9698,-234.41,-90,0.20
9708,-235.81,-90,0.20
9718,-236.85,-90,0.20
9728,-237.90,-90,0.20
9738,-239.29,-90,0.20
9748,-240.33,-90,0.20
9758,-241.38,-90,0.20
9768,-242.77,-90,0.20
9778,-243.81,-90,0.20
9788,-244.85,-90,0.20
9798,-246.24,-90,0.20
9808,-247.28,-90,0.20
9818,-248.32,-90,0.20
9828,-249.70,-90,0.20
9838,-250.74,-90,0.20
9848,-251.77,-90,0.20
9858,-253.15,-90,0.20
9868,-254.18,-90,0.20
9878,-255.21,-90,0.20
9888,-256.58,-90,0.20
9898,-257.61,-90,0.20
9908,-258.64,-90,0.20
9918,-259.89,-90,0.20
9928,-260.91,-90,0.20
9938,-262.27,-90,0.20
9948,-263.29,-90,0.20
9958,-264.31,-90,0.20
9968,-265.67,-90,0.20
9978,-266.68,-90,0.20
9988,-267.70,-90,0.20
9998,-269.04,-90,0.20
10104,-280.72,-90,0.20
10115,-282.04,-90,0.20
10125,-283.03,-90,0.20
10135,-284.01,-90,0.20
10145,-285.32,-90,0.20
10155,-286.30,-90,0.20
10165,-287.28,-90,0.20
10175,-288.58,-90,0.20
10185,-289.56,-90,0.20
10195,-290.53,-90,0.20
10205,-291.82,-90,0.20
10215,-292.79,-90,0.20
10225,-293.76,-90,0.20
10235,-295.05,-90,0.20
10245,-296.01,-90,0.20
10255,-296.97,-90,0.20
10265,-298.25,-90,0.20
10275,-299.21,-90,0.20
10285,-300.16,-90,0.20
10295,-301.43,-90,0.20
10305,-302.39,-90,0.20
10315,-303.34,-90,0.20
10325,-304.60,-90,0.20
10335,-305.55,-90,0.20
10345,-306.49,-90,0.20
10355,-307.74,-90,0.20
10365,-308.68,-90,0.20
10375,-309.62,-90,0.20
10385,-310.87,-90,0.20
10395,-311.80,-90,0.20
10641,-336.79,-90,0.20
10658,-338.58,-90,0.20
10672,-339.78,-90,0.20
10686,-341.27,-90,0.20
10699,-342.46,-90,0.20
10713,-343.94,-90,0.20
